Source_URL,Username,Review,Cleaned_Review,Rating,Date,Sentiment
https://www.tokopedia.com/distri-laptop/laptop-axioo-hype-1-celeron-4gb-8gb-128gb-14-hd-w11-1731414735794112013/review,A***i,"makasih ya om seller dan JNT udah perlakukan barang pesanan papahku dengan sangat baik. barangnya oke banget di pake aku  kelas 5MI yg baru belajar pake laptop👍
dan juga... ","makasih ya om seller dan jnt udah perlakukan barang pesanan papahku dengan sangat baik barangnya oke banget di pake aku  kelas mi yg baru belajar pake laptop
dan juga",5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/dna-com-17/lenovo-thinkpad-x240-x250-x260-x270-x280-x290-i3-i5-i7-second-original-berkualitas-bergaransi-1731365752961468092/review,Dede,terimakasih beroperasi dgn baik kata ponakan,terimakasih beroperasi dgn baik kata ponakan,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/distri-laptop/laptop-axioo-hype-1-celeron-4gb-8gb-128gb-14-hd-w11-1731414735794112013/review,Ahmad,"barang sesuai, respon penjual sangat baik",barang sesuai respon penjual sangat baik,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,Anwar,"top markotop, barang sesuai deskripsi",top markotop barang sesuai deskripsi,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/tokohapedia-idn/apple-macbook-air-m1-chip-2020-256gb-512gb-space-gray-gold-silver-grey-inter-256gb/review,f***n,barang yang dikirim bener bener BINB... padahal kemarin minta sekalian di instalkan officenya 😅😅😅😅,barang yang dikirim bener bener binb padahal kemarin minta sekalian di instalkan officenya,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,K***n,Cakepppppp tapi di keyboard ada yg aneh coba cari☺️😎,cakepppppp tapi di keyboard ada yg aneh coba cari,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/tokohapedia-idn/apple-macbook-air-m1-chip-2020-256gb-512gb-space-gray-gold-silver-grey-inter-256gb/review,p***a,"So far ok, semoga ga ada problem.. seller ramah",so far ok semoga ga ada problem seller ramah,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/distri-laptop/laptop-axioo-hype-1-celeron-4gb-8gb-128gb-14-hd-w11-1731414735794112013/review,Diki,"dah dipakai 2 mingguan ,dan jujurly untuk harga segitu no complain ,tp tau nya puas banget ,,,minus nya cuman harus biasain/adaptasi dr yg biasa pakai window .overall all... ",dah dipakai  mingguan dan jujurly untuk harga segitu no complain tp tau nya puas banget minus nya cuman harus biasainadaptasi dr yg biasa pakai window overall all,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,S***n,"mohon bagi seperti saya yg kurang paham laptop, agar dipermudah sehingga bisa tinggal pakai,

windows error update, windows security threats found, laptop casing core i5,... ","mohon bagi seperti saya yg kurang paham laptop agar dipermudah sehingga bisa tinggal pakai

windows error update windows security threats found laptop casing core i",5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/electrocom/lenovo-thinkpad-x280-touchscreen-i5-gen8-ram-16gb-512gb-ultrabook-1733657196012995842/review,Nazihun,key pad sering loncat di ketik,key pad sering loncat di ketik,3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,tomy,"barang sampai sesuai dengan kondisi ya, recommended",barang sampai sesuai dengan kondisi ya recommended,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/gugellaptop/thinkpad-t490-t490s-core-i7-16gb-512gb-thinkpad-t490s-t490-t490-t490s-1731506693531796770/review,G***g,Lebih dari 1 tahun lalu,lebih dari  tahun lalu,1,Lebih dari 1 tahun lalu,negatif
